# t=time;g=gyro;a=accel;e=euler;c=commanded
# t1,g1,g2,g3,a1,a2,a3,e1,e2,c1,c2,c3,c4,c5
4.073880099999999948e+04,6.552400000000000000e+04,0.000000000000000000e+00,6.000000000000000000e+00,8.770000000000000000e+02,5.173000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073881900000000314e+04,1.200000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,8.750000000000000000e+02,5.163000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073883600000000297e+04,6.553000000000000000e+04,6.553000000000000000e+04,6.553000000000000000e+04,8.740000000000000000e+02,5.154000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073884500000000116e+04,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,8.730000000000000000e+02,5.146000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073885399999999936e+04,6.550000000000000000e+04,6.100000000000000000e+01,6.551800000000000000e+04,8.720000000000000000e+02,5.139000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073886099999999715e+04,6.551800000000000000e+04,5.400000000000000000e+01,6.552400000000000000e+04,8.710000000000000000e+02,5.133000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073886800000000221e+04,6.550600000000000000e+04,2.400000000000000000e+01,6.553000000000000000e+04,8.690000000000000000e+02,5.120000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073887500000000000e+04,6.550600000000000000e+04,3.000000000000000000e+01,6.551800000000000000e+04,8.680000000000000000e+02,5.115000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073888399999999820e+04,6.000000000000000000e+00,3.000000000000000000e+01,6.553000000000000000e+04,8.680000000000000000e+02,5.111000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073889100000000326e+04,1.800000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,8.670000000000000000e+02,5.106000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073890099999999802e+04,1.800000000000000000e+01,6.551800000000000000e+04,0.000000000000000000e+00,8.660000000000000000e+02,5.102000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073890699999999924e+04,3.600000000000000000e+01,6.548800000000000000e+04,1.200000000000000000e+01,8.660000000000000000e+02,5.098000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073891399999999703e+04,4.200000000000000000e+01,6.548800000000000000e+04,3.600000000000000000e+01,8.650000000000000000e+02,5.094000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073892100000000210e+04,3.600000000000000000e+01,6.548200000000000000e+04,2.400000000000000000e+01,8.650000000000000000e+02,5.090000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073893000000000029e+04,1.800000000000000000e+01,6.548200000000000000e+04,1.800000000000000000e+01,8.640000000000000000e+02,5.086000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073893800000000192e+04,6.000000000000000000e+00,6.550600000000000000e+04,3.000000000000000000e+01,8.630000000000000000e+02,5.081000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073894400000000314e+04,6.550000000000000000e+04,3.000000000000000000e+01,0.000000000000000000e+00,8.620000000000000000e+02,5.076000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073895100000000093e+04,6.546300000000000000e+04,8.500000000000000000e+01,6.548800000000000000e+04,8.610000000000000000e+02,5.073000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073895700000000215e+04,6.546300000000000000e+04,1.090000000000000000e+02,6.549400000000000000e+04,8.600000000000000000e+02,5.069000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073896699999999691e+04,6.546300000000000000e+04,1.150000000000000000e+02,6.551800000000000000e+04,8.590000000000000000e+02,5.065000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073897299999999814e+04,6.547500000000000000e+04,7.900000000000000000e+01,6.550000000000000000e+04,8.590000000000000000e+02,5.060000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
4.073898000000000320e+04,6.000000000000000000e+00,1.200000000000000000e+01,1.200000000000000000e+01,8.590000000000000000e+02,5.058000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
