# t=time;g=gyro;a=accel;e=euler;c=commanded
# t1,g1,g2,g3,a1,a2,a3,e1,e2,c1,c2,c3,c4,c5
2.299999999959254637e-01,1.200000000000000000e+01,3.000000000000000000e+01,6.553000000000000000e+04,1.820000000000000000e+02,6.506300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.369999999937135726e-01,6.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,1.830000000000000000e+02,6.505400000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.489999999961582944e-01,0.000000000000000000e+00,6.000000000000000000e+00,1.200000000000000000e+01,1.830000000000000000e+02,6.504300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.629999999990104698e-01,1.800000000000000000e+01,1.200000000000000000e+01,6.552400000000000000e+04,1.840000000000000000e+02,6.502800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.699999999967985786e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.850000000000000000e+02,6.502200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.769999999945866875e-01,0.000000000000000000e+00,6.553000000000000000e+04,6.000000000000000000e+00,1.850000000000000000e+02,6.501400000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.839999999996507540e-01,0.000000000000000000e+00,1.800000000000000000e+01,6.553000000000000000e+04,1.860000000000000000e+02,6.500500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
2.959999999948195182e-01,6.553000000000000000e+04,2.400000000000000000e+01,6.553000000000000000e+04,1.860000000000000000e+02,6.499700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.029999999998835847e-01,6.553000000000000000e+04,6.551800000000000000e+04,2.400000000000000000e+01,1.860000000000000000e+02,6.499100000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.099999999976716936e-01,0.000000000000000000e+00,6.000000000000000000e+00,1.200000000000000000e+01,1.870000000000000000e+02,6.498500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.159999999988940544e-01,6.000000000000000000e+00,2.400000000000000000e+01,6.551800000000000000e+04,1.870000000000000000e+02,6.497800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.249999999970896170e-01,6.000000000000000000e+00,1.200000000000000000e+01,6.553000000000000000e+04,1.880000000000000000e+02,6.497100000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
3.319999999948777258e-01,6.553000000000000000e+04,0.000000000000000000e+00,6.000000000000000000e+00,1.880000000000000000e+02,6.496200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04,4.240500000000000000e+04
