11:23:02.863,None
11:23:02.875,array('B', [0])
11:23:02.886,array('B', [0])
11:23:02.898,array('B', [0])
11:23:02.909,array('B', [0])
11:23:02.919,array('B', [0])
11:23:02.931,array('B', [0])
11:23:03.099,array('B', [0])
11:23:03.110,array('B', [0])
11:23:03.121,array('B', [0])
11:23:03.132,array('B', [0])
11:23:03.143,array('B', [0])
11:23:03.154,array('B', [0])
11:23:03.165,array('B', [0])
11:23:03.176,array('B', [0])
11:23:03.187,array('B', [0])
11:23:03.198,array('B', [0])
11:23:03.209,array('B', [0])
11:23:03.221,array('B', [0])
11:23:03.232,array('B', [0])
11:23:03.243,array('B', [0])
11:23:03.254,array('B', [0])
11:23:03.265,array('B', [0])
11:23:03.276,array('B', [0])
11:23:03.287,array('B', [0])
11:23:03.458,array('B', [0])
11:23:03.469,array('B', [0])
11:23:03.480,array('B', [0])
11:23:03.491,array('B', [0])
11:23:03.502,array('B', [0])
11:23:03.514,array('B', [0])
11:23:03.525,array('B', [0])
11:23:03.537,array('B', [0])
11:23:03.547,array('B', [0])
11:23:03.559,array('B', [0])
11:23:03.570,array('B', [0])
11:23:03.580,array('B', [0])
11:23:03.591,array('B', [0])
11:23:03.602,array('B', [0])
11:23:03.614,array('B', [0])
11:23:03.625,array('B', [0])
11:23:03.636,array('B', [0])
11:23:03.818,array('B', [0])
11:23:03.829,array('B', [0])
11:23:03.839,array('B', [0])
11:23:03.850,array('B', [0])
11:23:03.861,array('B', [0])
11:23:03.872,array('B', [0])
11:23:03.883,array('B', [0])
11:23:03.894,array('B', [0])
11:23:03.905,array('B', [0])
11:23:03.916,array('B', [0])
11:23:03.928,array('B', [0])
11:23:03.938,array('B', [0])
11:23:03.950,array('B', [0])
11:23:03.962,array('B', [0])
11:23:03.974,array('B', [0])
11:23:03.985,array('B', [0])
11:23:03.996,array('B', [0])
11:23:04.007,array('B', [0])
11:23:04.018,array('B', [0])
11:23:04.030,array('B', [0])
11:23:04.041,array('B', [0])
11:23:04.052,array('B', [0])
11:23:04.063,array('B', [0])
11:23:04.074,array('B', [0])
11:23:04.246,array('B', [0])
11:23:04.257,array('B', [0])
11:23:04.268,array('B', [0])
11:23:04.279,array('B', [0])
11:23:04.290,array('B', [0])
11:23:04.301,array('B', [0])
11:23:04.312,array('B', [0])
11:23:04.323,array('B', [0])
11:23:04.334,array('B', [0])
11:23:04.345,array('B', [0])
