11:22:26.269,array('B', [0])
11:22:26.280,array('B', [0])
11:22:26.291,array('B', [0])
11:22:26.302,array('B', [0])
11:22:26.313,array('B', [0])
11:22:26.325,array('B', [0])
11:22:26.336,array('B', [0])
11:22:26.347,array('B', [0])
11:22:26.358,array('B', [0])
11:22:26.369,array('B', [0])
11:22:26.546,array('B', [0])
11:22:26.557,array('B', [0])
11:22:26.569,array('B', [0])
11:22:26.581,array('B', [0])
11:22:26.592,array('B', [0])
11:22:26.603,array('B', [0])
11:22:26.614,array('B', [0])
11:22:26.625,array('B', [0])
11:22:26.636,array('B', [0])
11:22:26.648,array('B', [0])
11:22:26.659,array('B', [0])
11:22:26.670,array('B', [0])
11:22:26.681,array('B', [0])
11:22:26.693,array('B', [49, 240, 141, 249, 41, 173, 179, 16, 198, 9, 216, 0, 0, 0, 0, 0, 0, 0, 0, 165, 165, 165, 165, 165, 165, 165, 165])
11:22:26.709,array('B', [0])
11:22:26.720,array('B', [0])
11:22:26.731,array('B', [0])
11:22:26.909,array('B', [0])
11:22:26.921,array('B', [0])
11:22:26.932,array('B', [0])
11:22:26.943,array('B', [0])
11:22:26.955,array('B', [0])
11:22:26.966,array('B', [0])
11:22:26.977,array('B', [0])
11:22:26.988,array('B', [0])
11:22:27.001,array('B', [0])
11:22:27.012,array('B', [0])
11:22:27.024,array('B', [0])
11:22:27.035,array('B', [0])
11:22:27.046,array('B', [0])
11:22:27.058,array('B', [0])
11:22:27.068,array('B', [0])
11:22:27.079,array('B', [0])
11:22:27.090,array('B', [0])
11:22:27.101,array('B', [0])
11:22:27.112,array('B', [0])
11:22:27.288,array('B', [0])
11:22:27.299,array('B', [0])
11:22:27.310,array('B', [0])
11:22:27.321,array('B', [0])
11:22:27.332,array('B', [0])
11:22:27.343,array('B', [0])
11:22:27.354,array('B', [0])
11:22:27.366,array('B', [0])
11:22:27.377,array('B', [0])
11:22:27.387,array('B', [0])
11:22:27.399,array('B', [0])
11:22:27.410,array('B', [0])
11:22:27.421,array('B', [0])
11:22:27.432,array('B', [0])
11:22:27.443,array('B', [0])
11:22:27.455,array('B', [0])
11:22:27.466,array('B', [0])
11:22:27.477,array('B', [0])
11:22:27.488,array('B', [0])
11:22:27.661,array('B', [0])
11:22:27.672,array('B', [0])
11:22:27.683,array('B', [0])
11:22:27.694,array('B', [0])
11:22:27.706,array('B', [0])
11:22:27.717,array('B', [0])
11:22:27.728,array('B', [0])
11:22:27.739,array('B', [0])
11:22:27.751,array('B', [0])
11:22:27.762,array('B', [0])
11:22:27.773,array('B', [0])
11:22:27.784,array('B', [0])
11:22:27.795,array('B', [0])
