16:31:04.087,array('B', [0])
16:31:04.106,array('B', [0])
16:31:04.118,array('B', [0])
16:31:04.136,array('B', [0])
16:31:04.148,array('B', [0])
16:31:04.159,array('B', [0])
16:31:04.170,array('B', [0])
16:31:04.190,array('B', [0])
16:31:04.200,array('B', [0])
16:31:04.230,array('B', [0])
16:31:04.241,array('B', [0])
16:31:04.252,array('B', [0])
16:31:04.263,array('B', [0])
16:31:04.290,array('B', [0])
16:31:04.302,array('B', [0])
16:31:04.319,array('B', [0])
16:31:04.330,array('B', [0])
16:31:04.343,array('B', [0])
16:31:04.353,array('B', [0])
16:31:04.364,array('B', [0])
16:31:04.375,array('B', [0])
16:31:04.387,array('B', [0])
16:31:04.404,array('B', [0])
16:31:04.416,array('B', [0])
16:31:04.442,array('B', [0])
16:31:04.453,array('B', [0])
16:31:04.474,array('B', [0])
16:31:04.484,array('B', [0])
16:31:04.505,array('B', [0])
16:31:04.515,array('B', [0])
16:31:04.534,array('B', [0])
16:31:04.545,array('B', [0])
16:31:04.556,array('B', [0])
16:31:04.567,array('B', [0])
16:31:04.578,array('B', [0])
16:31:04.607,array('B', [0])
16:31:04.627,array('B', [0])
16:31:04.638,array('B', [0])
16:31:04.656,array('B', [0])
16:31:04.668,array('B', [0])
16:31:04.680,array('B', [0])
16:31:04.690,array('B', [0])
16:31:04.711,array('B', [0])
16:31:04.722,array('B', [0])
16:31:04.750,array('B', [0])
16:31:04.761,array('B', [0])
16:31:04.772,array('B', [0])
16:31:04.783,array('B', [0])
16:31:04.803,array('B', [0])
16:31:04.814,array('B', [0])
16:31:04.842,array('B', [0])
16:31:04.853,array('B', [0])
16:31:04.864,array('B', [0])
16:31:04.875,array('B', [0])
16:31:04.904,array('B', [0])
16:31:04.915,array('B', [0])
16:31:04.926,array('B', [0])
16:31:04.937,array('B', [0])
16:31:04.957,array('B', [0])
16:31:04.969,array('B', [0])
16:31:04.987,array('B', [0])
16:31:04.999,array('B', [0])
16:31:05.018,array('B', [0])
16:31:05.029,array('B', [0])
16:31:05.049,array('B', [0])
16:31:05.061,array('B', [0])
16:31:05.080,array('B', [0])
16:31:05.090,array('B', [0])
16:31:05.119,array('B', [0])
16:31:05.130,array('B', [0])
16:31:05.141,array('B', [0])
16:31:05.152,array('B', [0])
16:31:05.172,array('B', [0])
16:31:05.183,array('B', [0])
16:31:05.209,array('B', [0])
16:31:05.221,array('B', [0])
16:31:05.232,array('B', [0])
16:31:05.244,array('B', [0])
16:31:05.271,array('B', [0])
16:31:05.282,array('B', [0])
16:31:05.293,array('B', [0])
16:31:05.304,array('B', [0])
16:31:05.315,array('B', [0])
16:31:05.326,array('B', [0])
16:31:05.337,array('B', [0])
16:31:05.362,array('B', [0])
16:31:05.374,array('B', [0])
16:31:05.393,array('B', [0])
16:31:05.404,array('B', [0])
16:31:05.420,array('B', [0])
16:31:05.432,array('B', [0])
16:31:05.445,array('B', [0])
16:31:05.456,array('B', [0])
16:31:05.466,array('B', [0])
16:31:05.477,array('B', [0])
16:31:05.489,array('B', [0])
16:31:05.505,array('B', [0])
16:31:05.516,array('B', [0])
16:31:05.544,array('B', [0])
16:31:05.556,array('B', [0])
16:31:05.567,array('B', [0])
16:31:05.577,array('B', [0])
16:31:05.589,array('B', [0])
16:31:05.606,array('B', [0])
16:31:05.617,array('B', [0])
16:31:05.628,array('B', [0])
16:31:05.639,array('B', [0])
16:31:05.665,array('B', [0])
16:31:05.677,array('B', [0])
16:31:05.689,array('B', [0])
16:31:05.700,array('B', [0])
16:31:05.720,array('B', [0])
