16:26:55.648,None
16:26:55.659,array('B', [0])
16:26:55.706,array('B', [0])
16:26:55.727,array('B', [0])
16:26:55.738,array('B', [0])
16:26:55.771,array('B', [0])
16:26:55.814,array('B', [0])
16:26:55.825,array('B', [0])
16:26:55.859,array('B', [0])
16:26:55.869,array('B', [0])
16:26:55.896,array('B', [0])
16:26:55.926,array('B', [0])
16:26:55.936,array('B', [0])
16:26:55.971,array('B', [0])
16:26:56.014,array('B', [0])
16:26:56.024,array('B', [0])
16:26:56.058,array('B', [0])
16:26:56.081,array('B', [0])
16:26:56.092,array('B', [0])
16:26:56.136,array('B', [0])
16:26:56.178,array('B', [0])
16:26:56.189,array('B', [0])
16:26:56.201,array('B', [0])
16:26:56.212,array('B', [0])
16:26:56.224,array('B', [0])
16:26:56.249,array('B', [0])
16:26:56.260,array('B', [0])
16:26:56.271,array('B', [0])
16:26:56.282,array('B', [0])
16:26:56.307,array('B', [0])
16:26:56.318,array('B', [0])
16:26:56.340,array('B', [0])
16:26:56.351,array('B', [0])
16:26:56.363,array('B', [0])
16:26:56.373,array('B', [0])
16:26:56.402,array('B', [0])
16:26:56.413,array('B', [0])
16:26:56.432,array('B', [0])
16:26:56.444,array('B', [0])
16:26:56.461,array('B', [0])
16:26:56.472,array('B', [0])
16:26:56.485,array('B', [0])
16:26:56.496,array('B', [0])
16:26:56.516,array('B', [0])
16:26:56.528,array('B', [0])
16:26:56.546,array('B', [0])
16:26:56.557,array('B', [0])
16:26:56.586,array('B', [0])
16:26:56.597,array('B', [0])
16:26:56.616,array('B', [0])
16:26:56.626,array('B', [0])
16:26:56.639,array('B', [0])
16:26:56.649,array('B', [0])
16:26:56.669,array('B', [0])
16:26:56.680,array('B', [0])
16:26:56.709,array('B', [0])
16:26:56.720,array('B', [0])
16:26:56.731,array('B', [0])
16:26:56.741,array('B', [0])
16:26:56.769,array('B', [0])
16:26:56.779,array('B', [0])
16:26:56.796,array('B', [0])
16:26:56.807,array('B', [0])
16:26:56.829,array('B', [0])
16:26:56.841,array('B', [0])
16:26:56.860,array('B', [0])
16:26:56.871,array('B', [0])
16:26:56.890,array('B', [0])
16:26:56.901,array('B', [0])
16:26:56.921,array('B', [0])
16:26:56.932,array('B', [0])
16:26:56.951,array('B', [0])
16:26:56.961,array('B', [0])
16:26:56.981,array('B', [0])
16:26:56.992,array('B', [0])
16:26:57.008,array('B', [0])
16:26:57.019,array('B', [0])
16:26:57.042,array('B', [0])
16:26:57.053,array('B', [0])
16:26:57.071,array('B', [0])
16:26:57.082,array('B', [0])
16:26:57.103,array('B', [0])
16:26:57.114,array('B', [0])
16:26:57.126,array('B', [0])
16:26:57.136,array('B', [0])
16:26:57.155,array('B', [0])
16:26:57.166,array('B', [0])
16:26:57.194,array('B', [0])
16:26:57.206,array('B', [0])
16:26:57.217,array('B', [0])
16:26:57.228,array('B', [0])
16:26:57.256,array('B', [0])
16:26:57.267,array('B', [0])
16:26:57.278,array('B', [0])
16:26:57.289,array('B', [0])
16:26:57.309,array('B', [0])
16:26:57.322,array('B', [0])
16:26:57.339,array('B', [0])
16:26:57.350,array('B', [0])
16:26:57.375,array('B', [0])
16:26:57.387,array('B', [0])
16:26:57.406,array('B', [0])
16:26:57.418,array('B', [0])
16:26:57.431,array('B', [0])
16:26:57.441,array('B', [0])
16:26:57.461,array('B', [0])
16:26:57.472,array('B', [0])
16:26:57.499,array('B', [0])
16:26:57.511,array('B', [0])
16:26:57.522,array('B', [0])
16:26:57.532,array('B', [0])
16:26:57.561,array('B', [0])
16:26:57.572,array('B', [0])
16:26:57.583,array('B', [0])
16:26:57.594,array('B', [0])
16:26:57.615,array('B', [0])
16:26:57.625,array('B', [0])
16:26:57.645,array('B', [0])
16:26:57.655,array('B', [0])
16:26:57.684,array('B', [0])
16:26:57.695,array('B', [0])
16:26:57.714,array('B', [0])
16:26:57.725,array('B', [0])
16:26:57.744,array('B', [0])
16:26:57.754,array('B', [0])
16:26:57.775,array('B', [0])
16:26:57.786,array('B', [0])
16:26:57.797,array('B', [0])
16:26:57.808,array('B', [0])
16:26:57.836,array('B', [0])
16:26:57.848,array('B', [0])
16:26:57.859,array('B', [0])
16:26:57.869,array('B', [0])
16:26:57.888,array('B', [0])
16:26:57.899,array('B', [0])
16:26:57.927,array('B', [0])
16:26:57.938,array('B', [0])
16:26:57.950,array('B', [0])
16:26:57.960,array('B', [0])
16:26:57.989,array('B', [0])
16:26:58.000,array('B', [0])
16:26:58.011,array('B', [0])
16:26:58.021,array('B', [0])
16:26:58.042,array('B', [0])
16:26:58.052,array('B', [0])
16:26:58.073,array('B', [0])
16:26:58.084,array('B', [0])
16:26:58.111,array('B', [0])
16:26:58.122,array('B', [0])
16:26:58.134,array('B', [0])
16:26:58.144,array('B', [0])
16:26:58.172,array('B', [0])
16:26:58.183,array('B', [0])
16:26:58.194,array('B', [0])
16:26:58.205,array('B', [0])
16:26:58.224,array('B', [0])
16:26:58.235,array('B', [0])
16:26:58.263,array('B', [0])
16:26:58.274,array('B', [0])
16:26:58.285,array('B', [0])
16:26:58.296,array('B', [0])
16:26:58.324,array('B', [0])
16:26:58.334,array('B', [0])
16:26:58.346,array('B', [0])
16:26:58.357,array('B', [0])
16:26:58.376,array('B', [0])
16:26:58.387,array('B', [0])
16:26:58.415,array('B', [0])
16:26:58.427,array('B', [0])
16:26:58.438,array('B', [0])
16:26:58.448,array('B', [0])
16:26:58.467,array('B', [0])
16:26:58.478,array('B', [0])
