16:21:37.696,None
16:21:37.708,array('B', [0])
16:21:37.745,array('B', [0])
16:21:37.767,array('B', [0])
16:21:37.777,array('B', [0])
16:21:37.813,array('B', [0])
16:21:37.835,array('B', [0])
16:21:37.846,array('B', [0])
16:21:37.900,array('B', [0])
16:21:37.923,array('B', [0])
16:21:37.934,array('B', [0])
16:21:37.967,array('B', [0])
16:21:38.013,array('B', [0])
16:21:38.024,array('B', [0])
16:21:38.034,array('B', [0])
16:21:38.045,array('B', [0])
16:21:38.056,array('B', [0])
16:21:38.082,array('B', [0])
16:21:38.094,array('B', [0])
16:21:38.106,array('B', [0])
16:21:38.117,array('B', [0])
16:21:38.142,array('B', [0])
16:21:38.153,array('B', [0])
16:21:38.165,array('B', [0])
16:21:38.177,array('B', [0])
16:21:38.196,array('B', [0])
16:21:38.208,array('B', [0])
16:21:38.236,array('B', [0])
16:21:38.247,array('B', [0])
16:21:38.258,array('B', [0])
16:21:38.269,array('B', [0])
16:21:38.287,array('B', [0])
16:21:38.299,array('B', [0])
16:21:38.326,array('B', [0])
16:21:38.337,array('B', [0])
16:21:38.354,array('B', [0])
16:21:38.364,array('B', [0])
16:21:38.387,array('B', [0])
16:21:38.398,array('B', [0])
16:21:38.415,array('B', [0])
16:21:38.426,array('B', [0])
16:21:38.448,array('B', [0])
16:21:38.460,array('B', [0])
16:21:38.478,array('B', [0])
16:21:38.490,array('B', [0])
16:21:38.501,array('B', [0])
16:21:38.511,array('B', [0])
16:21:38.540,array('B', [0])
16:21:38.552,array('B', [0])
16:21:38.563,array('B', [0])
16:21:38.574,array('B', [0])
16:21:38.599,array('B', [0])
16:21:38.611,array('B', [0])
16:21:38.622,array('B', [0])
16:21:38.633,array('B', [0])
16:21:38.661,array('B', [0])
16:21:38.673,array('B', [0])
16:21:38.684,array('B', [0])
16:21:38.695,array('B', [0])
16:21:38.721,array('B', [0])
16:21:38.732,array('B', [0])
16:21:38.752,array('B', [0])
16:21:38.764,array('B', [0])
16:21:38.783,array('B', [0])
16:21:38.793,array('B', [0])
16:21:38.812,array('B', [0])
16:21:38.823,array('B', [0])
16:21:38.845,array('B', [0])
16:21:38.856,array('B', [0])
16:21:38.873,array('B', [0])
16:21:38.884,array('B', [0])
16:21:38.907,array('B', [0])
16:21:38.918,array('B', [0])
